Wassily Kandinsky,John Marin,Frantisek Kupka,Joaquin Garcia,Bart van der Leck,Constantin Brancusi,Marsden Hartley,Otto Freundlich,Francis Picabia,Kazimir Malevich,Vahram Gayfedjian,Paul Klee,Hans Hofmann,Arthur Dove,Arthur Carles,Auguste Herbin,Theo Doesburg,Georgy Yakulov,Lawren Harris,Vladimir Tatlin,Jean Arp,Georges Vantongerloo,Josef Albers,Alberto Magnelli,Johannes Itten,Felix Marle,Willi Baumeister,Rudolf Bauer,David Kakabadze,Serge Charchoune,El Lissitzky,Josef Sima,Emilio Pettoruti,Wladyslaw Strzeminski,Ben Nicholson,Pierre Daura,Gerard Schneider,Mordecai Ardon,Henry Moore,Fritz Glarner,Bradley Tomlin,Friedrich Vordemberge-Gildewart,Jack Tworkov,Cesar Domela,Princess Zeid,Michel Seuphor,Jose Costigliolo,Esteban Vicente,Mark Rothko,Alekos Kontopoulos,Balcomb Greene,Giorgio Cavallon,Jean Helion,Willem Kooning,Hans Hartung,Noguchi Isamu,Clyfford Still,Perle Fine,John Ferren,Barnett Newman,Walter Battiss,Serge Poliakoff,Camille Bryen,Ulfert Wilke,Theodore Roszak,Ilya Bolotowsky,Etienne Hajdu,Maria Helena Vieira da Silva,Lee Krasner,Victor Pasmore,Jean Bertholle,Antonio Corpora,Louis Lint,Franz Kline,Jackson Pollock,Afro Basaldella,Vasile Dobrian,Toko Shinoda,Conrad Marca-Relli,Karl Gotz,Alexandre Istrati,Tihamer Gyarmathy,Friedel Dzubas,Hassel Smith,Gunther Gerzso,Terry Frost,Richard Pousette-Dart,Milton Resnick,Nicolas Carone,Robert Goodnough,Edward Corbett,Pierre Soulages,Huguette Bertrand,George Saru,Chu Teh-Chun,Georges Mathieu,Albert Irvin,Simon Hantai,Sam Francis,Paul Jenkins,Karlo Zvirynsky,Fernando Lanhas,Jean-Paul Riopelle,Olga Albizu,Eduardo Chillida,Manabu Mabe,Francois Arnal,Adnan Turani,Joan Mitchell,Marcel Barbeau,Etel Adnan,Fernando Szyszlo,Adnan Coker,Al Held,Shozo Shimamoto,Alice Baber,Li Yuan-chia,Constantin Blendea,Claude Georges,Ion Gheorghiu,Linde Martin,Yuri Zlotnikov,Gio Pomodoro,Albert Bitran,Lee Bontecou,Gerhard Richter,Romul Nutiu,Bernard Cohen,Fernando Ponce,Constantin Flondor,Rochelle Blumenfeld,Hossein Zenderoudi,Larry Zox,Brice Marden,Akkitham Narayanan,Alvaro Lapa,Mihai Olos,Blinky Palermo,Valentin Khrushch,Gary Wragg,Tiberiy Szilvashi,Requena Nozal,Roger Weik,Andrzej Nowacki,Gunther Forg,Sofia Areal,Costin Brateanu
Russian,American,Czech,Spanish,Dutch,French,American,Jewish,French,Russian,Armenian,German,American,American,American,French,Dutch,Armenian,Canadian,Russian,French,Belgian,German,Italian,Swiss,French,German,American,Georgian,French,Russian,Czech,NA,Polish,British,Spanish,French,Jewish,British,American,American,German,American,Dutch,Turkish,French,Uruguayan,American,American,Greek,American,Italian,French,American,French,American,American,American,French,American,South African,French,NA,American,American,American,French,French,American,British,French,Italian,Belgian,American,American,Italian,Romanian,Japanese,American,German,French,Hungarian,German,American,Mexican,British,American,American,American,American,American,French,French,American,French,French,British,French,American,American,Ukrainian,Portuguese,Canadian,American,Spanish,Japanese,French,Turkish,French,Canadian,Lebanese,Peruvian,Turkish,American,Japanese,American,Chinese,Romanian,French,Romanian,American,Russian,Italian,French,American,German,Romanian,British,Mexican,Romanian,NA,Iranian,American,American,Indian,Portuguese,Romanian,German,Ukrainian,British,Ukrainian,Spanish,American,Polish,German,Portuguese,Romanian
1866-1944,1870-1953,1871-1957,1874-1949,1876-1958,1876-1957,1877-1943,1878-1943,1879-1953,1879-1935,1879,1879-1940,1880-1966,1880-1946,1882-1952,1882-1960,1883-1931,1884-1928,1885-1970,1885-1953,1886-1966,1886-1965,1888-1976,1888-1970,1888-1967,1889-1952,1889-1955,1889-1953,1889-1952,1889-1975,1890-1941,1891-1971,1892-1971,1893-1952,1894-1982,1896-1976,1896-1986,1896-1992,1898-1986,1899-1972,1899-1955,1899-1962,1900-1982,1900-1992,1901-1991,1901-1999,1902-1985,1903-2001,1903-1970,1904-1975,1904-1990,1904-1989,1904-1987,1904-1997,1904-1989,1904-1988,1904-1980,1905-1988,1905-1970,1905-1970,1906-1982,1906-1969,1907-1977,1907-1987,1907-1981,1907-1981,1907-1996,1908-1992,1908-1984,1908-1998,1909-1996,1909-2004,1909-1986,1910-1962,1912-1956,1912-1976,1912-1999,1913,1913-2000,1914,1915-1991,1915-2005,1915-1994,1915-2007,1915-2000,1915-2003,1916-1992,1917-2004,1917-2010,1917-2010,1919-1971,1919,1920-2005,1920-2003,1920,1921-2012,1922,1922-2008,1923-1994,1923-2012,1923-1997,1923-2012,1923-2002,1924-2005,1924-2002,1924-1997,1924-2012,1925,1925-1992,1925,1925,1925,1927,1928-2005,1928,1928-1982,1929-1994,1929-2012,1929-1988,1929-2001,1930-2010,1930-2016,1930-2002,1931,1931,1932,1932-2012,1933,1933-1987,1936,1936,1937,1937-2006,1938,1939,1939-2006,1940-2015,1943-1977,1943-2005,1946,1947,1947,1949,1953,1953-2013,1960,1978
