artist,birth_year,death_year,total,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Arnulf Rainer,1929,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arpad Szenes,1897,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arthur Aeschbacher,1923,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asger Jorn,1914,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atila,1931,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Augustin Cardenas,1927,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aurelie Nemours,1910,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avigdor Arikha,1929,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avni Arbas,1919,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Batta Mihailovitch,1923,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beauford Delaney,1901,1979,30,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Vautier,1935,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bengt Lindstrom,1925,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bernar Venet,1941,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bernard Aubertin,1934,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bernard Buffet,1928,1999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bernard Dufour,1922,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bernard Piga,1934,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bernard Quentin,1923,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bernard Rancillac,1931,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bernard Requichot,1929,1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bernard Schultze,1915,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bill Parker,1922,2009,5,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Blinky Palermo,1943,1977,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bob Robert Louis Thompson,1937,1966,31,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Bram Bogaert,1921,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bram Van Velde,1895,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brice Marden,1938,,119,3,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0
Bridget Riley,1931,,27,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Brion Gysin,1916,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Camille Bryen,1907,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carl Andre,1935,,116,1,0,1,0,0,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0
Carlos Cruz-Diez,1923,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carmelo Arden Quin,1913,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carol Rama,1918,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cesar Baldaccini,1921,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chafik Abboud,1926,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charles Hossein Zenderoudi,1937,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charles Lapicque,1898,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charles Marcon,1920,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christine Annie Christine Boumeester,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christo & Jean Claude,1841,1922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claes Thure Oldenburg,1929,,270,2,0,0,4,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0
Claude Bellegarde,1927,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claude Georges,1929,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claude Gilli,1938,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claude Viallat,1936,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claude Viseux,1927,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conrad Marca-Relli,1913,2000,82,1,1,0,0,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0
Constantin Georges Macris,1917,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cy Twombly,1928,2011,132,3,0,1,3,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0
Dadamaino,1930,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dan Christensen,1942,2007,25,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Dan Flavin,1933,1996,131,2,1,1,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
David Roland Smith,1906,1965,270,3,2,1,1,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0
David Budd,1927,1991,6,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
David Hockney,1937,,139,2,0,3,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
David Lan-Bar,,,139,2,0,3,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Denise Dobin,1916,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dikran Daderian,1929,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djoka Ivackovic,1930,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Domenico Gnoli,1933,1970,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Ed Edward Francis Paschke,1939,2004,51,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
