"x"
"Turan Selim"
"Valerio Adami"
"Victor Laks"
"Victor Vasarely"
"Vladimir Velickovic"
"Wayne Thiebaud"
"Wifredo Oscar de la Concepcion Lam"
"Willem de Kooning"
"William Nelson Copley"
"Wojcieck (Voy) Fangor"
"Wou-Ki Zao"
"Yannis Gaitis"
"Yayoi Kusama"
"Zoran Antonio Music"
